Library;Function
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSo5writeEPKcl@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSo9_M_insertIdEERSoT_@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSo9_M_insertImEERSoT_@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt12__basic_fileIcED1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt13basic_filebufIcSt11char_traitsIcEE4openEPKcSt13_Ios_Openmode@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt13basic_filebufIcSt11char_traitsIcEE5closeEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt13basic_filebufIcSt11char_traitsIcEEC1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt13basic_filebufIcSt11char_traitsIcEED1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ofstreamIcSt11char_traitsIcEED1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6chrono3_V212steady_clock3nowEv@GLIBCXX_3.4.19
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6localeD1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt8ios_baseC2Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt8ios_baseD2Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt9basic_iosIcSt11char_traitsIcEE5clearESt12_Ios_Iostate@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt17__throw_bad_allocv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt18_Rb_tree_decrementPSt18_Rb_tree_node_base@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt20__throw_length_errorPKc@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt21ios_base_library_initv@GLIBCXX_3.4.32
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt28__throw_bad_array_new_lengthv@GLIBCXX_3.4.29
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt29_Rb_tree_insert_and_rebalancebPSt18_Rb_tree_node_baseS0_RS_@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZdlPvm@CXXABI_1.3.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_Znwm@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;__cxa_begin_catch@CXXABI_1.3
