Library;# Unused Functions;% Unused Functions;# Total Functions;Direct
/lib/x86_64-linux-gnu/libxcb.so.1;666;98,81305637982196%;674;0
/lib/x86_64-linux-gnu/libbsd.so.0;98;91,58878504672897%;107;0
/lib/x86_64-linux-gnu/libm.so.6;1076;98,17518248175182%;1096;1
/lib/x86_64-linux-gnu/libGLX.so.0;38;92,6829268292683%;41;0
/lib/x86_64-linux-gnu/libX11.so.6;1080;91,37055837563452%;1182;1
/lib/x86_64-linux-gnu/libGLdispatch.so.0;15;93,75%;16;0
/lib/x86_64-linux-gnu/libgcc_s.so.1;179;98,35164835164835%;182;1
/lib/x86_64-linux-gnu/libmd.so.0;89;100,0%;89;0
/lib/x86_64-linux-gnu/libXau.so.6;8;100,0%;8;0
/lib/x86_64-linux-gnu/libc.so.6;2783;97,03626220362622%;2868;1
/lib/x86_64-linux-gnu/libGL.so.1;3405;98,12680115273776%;3470;1
/lib/x86_64-linux-gnu/libXdmcp.so.6;42;100,0%;42;0
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;22;95,65217391304348%;23;0
/lib/x86_64-linux-gnu/libstdc++.so.6;4483;98,03192652525694%;4573;1
